Title: Nd3

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1323.15 50.145992 46.801907 0.000000 0.482779 0.684727 1.561637 0.000000 0.614942 0.000000 0.000000 0.000000 
500.00 1313.15 46.820856 43.996054 0.000000 0.413783 0.513534 1.404125 0.000000 0.493359 0.000000 0.000000 0.000000 
500.00 1303.15 44.012980 40.895767 0.000000 0.531339 0.307883 1.791861 0.000000 0.449851 0.000000 0.000000 0.036279 
500.00 1293.15 40.946977 37.624176 0.000000 0.599601 0.132230 2.083453 0.000000 0.403836 0.000000 0.000000 0.103680 
500.00 1283.15 37.740335 34.882273 0.000000 0.483916 0.079965 1.809127 0.000000 0.323503 0.000000 0.000000 0.161551 
500.00 1273.15 35.054508 32.544562 0.000000 0.394924 0.049518 1.590074 0.000000 0.263458 0.000000 0.000000 0.211971 
500.00 1263.15 32.765872 30.524986 0.000000 0.324665 0.032624 1.409868 0.000000 0.217346 0.000000 0.000000 0.256383 
500.00 1253.15 30.789678 28.762094 0.000000 0.268151 0.024147 1.258285 0.000000 0.181174 0.000000 0.000000 0.295826 
500.00 1243.15 29.065428 27.210443 0.000000 0.222078 0.020832 1.128669 0.000000 0.152324 0.000000 0.000000 0.331082 
500.00 1233.15 27.548403 25.835372 0.000000 0.184155 0.020584 1.016527 0.000000 0.129007 0.000000 0.000000 0.362757 
500.00 1223.15 26.204506 24.609737 0.000000 0.152724 0.022055 0.918694 0.000000 0.109961 0.000000 0.000000 0.391335 
500.00 1213.15 25.007047 23.511800 0.000000 0.126543 0.024384 0.832840 0.000000 0.094267 0.000000 0.000000 0.417215 
500.00 1203.15 23.934665 22.523843 0.000000 0.104650 0.027031 0.757175 0.000000 0.081240 0.000000 0.000000 0.440727 
500.00 1193.15 22.969956 21.631213 0.000000 0.086285 0.029672 0.690275 0.000000 0.070358 0.000000 0.000000 0.462152 
500.00 1183.15 22.098536 20.821651 0.000000 0.070839 0.032123 0.630973 0.000000 0.061219 0.000000 0.000000 0.481731 
500.00 1173.15 21.308376 20.084803 0.000000 0.057815 0.034288 0.578294 0.000000 0.053505 0.000000 0.000000 0.499671 
500.00 1163.15 20.589322 19.411850 0.000000 0.046809 0.036129 0.531417 0.000000 0.046964 0.000000 0.000000 0.516152 
500.00 1153.15 19.932730 18.795228 0.000000 0.037487 0.037644 0.489643 0.000000 0.041397 0.000000 0.000000 0.531332 
500.00 1143.15 19.331188 18.228397 0.000000 0.029572 0.038851 0.452378 0.000000 0.036640 0.000000 0.000000 0.545350 
500.00 1133.15 18.778291 17.705663 0.000000 0.022835 0.039780 0.419123 0.000000 0.032563 0.000000 0.000000 0.558328 
500.00 1123.15 18.268463 17.220049 0.000000 0.017403 0.040138 0.389681 0.000000 0.029050 0.000000 0.001752 0.570391 
500.00 1113.15 17.795848 16.764007 0.000000 0.013282 0.039749 0.363790 0.000000 0.025999 0.000000 0.007357 0.581665 
500.00 1103.15 17.350734 16.330261 0.000000 0.015042 0.036723 0.346572 0.000000 0.011239 0.011686 0.006961 0.592249 
500.00 1093.15 16.928522 15.924449 0.000000 0.011818 0.036688 0.325889 0.000000 0.008324 0.013436 0.005762 0.602157 
500.00 1083.15 16.532529 15.540834 0.006550 0.003897 0.037466 0.309148 0.000000 0.005631 0.012663 0.004714 0.611628 
500.00 1073.15 16.159013 15.004548 0.028761 0.000000 0.030130 0.199258 0.249983 0.000000 0.012812 0.009636 0.623885 
500.00 1063.15 15.634069 14.473381 0.022152 0.000000 0.030487 0.143800 0.308026 0.000000 0.011497 0.009107 0.635619 
500.00 1053.15 15.114666 13.997330 0.019881 0.000000 0.027619 0.131054 0.275216 0.000000 0.010125 0.007325 0.646116 
