Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1353.15 100.121568 79.126949 3.488221 0.000000 13.281560 0.000000 3.822980 0.000000 0.000000 0.000000 0.000000 0.401858 
500.00 1343.15 100.254064 63.367538 3.499959 0.000000 18.620834 0.000000 9.742159 0.000000 4.385922 0.000000 0.000000 0.637652 
500.00 1333.15 100.296576 53.065058 2.388966 2.326727 21.071517 0.000000 14.707293 0.000000 5.910082 0.000000 0.000000 0.826933 
500.00 1323.15 100.329920 42.831070 0.000000 7.490097 21.830199 0.000000 20.054691 0.000000 7.093798 0.000000 0.000000 1.030066 
500.00 1313.15 100.336848 36.521580 0.000000 8.944118 22.085373 0.000000 23.999886 0.000000 7.624763 0.000000 0.000000 1.161127 
500.00 1303.15 100.337826 31.388108 0.000000 10.146652 22.222750 0.000000 27.341576 0.000000 7.966637 0.000000 0.000000 1.272102 
500.00 1293.15 100.334712 27.179230 0.000000 11.161686 22.295123 0.000000 30.159473 0.000000 8.173219 0.000000 0.000000 1.365981 
500.00 1283.15 100.328779 23.720943 0.000000 12.036140 22.326304 0.000000 32.518991 0.000000 8.281426 0.000000 0.000000 1.444976 
500.00 1273.15 100.320946 20.876086 0.000000 12.804701 22.327298 0.000000 34.483461 0.000000 8.318289 0.000000 0.000000 1.511111 
500.00 1263.15 100.311892 18.530111 0.000000 13.492589 22.304250 0.000000 36.114588 0.000000 8.304015 0.000000 0.000000 1.566339 
500.00 1253.15 100.302109 16.586383 0.000000 14.117905 22.261761 0.000000 37.469974 0.000000 8.253591 0.000000 0.000000 1.612494 
500.00 1243.15 100.291940 14.964934 0.000000 14.693598 22.203932 0.000000 38.600358 0.000000 8.177903 0.000000 0.000000 1.651214 
500.00 1233.15 100.281201 13.550272 0.000000 15.245140 22.130746 0.000000 39.564416 0.000000 8.080251 0.000000 0.025828 1.684547 
500.00 1223.15 100.270351 12.336813 0.000000 15.766588 22.047928 0.000000 40.380631 0.000000 7.968693 0.000000 0.056704 1.712994 
500.00 1213.15 100.259666 11.302588 0.000000 16.256983 21.959985 0.000000 41.071427 0.000000 7.848936 0.000000 0.082495 1.737252 
500.00 1203.15 100.249199 10.412149 0.000000 16.721218 21.869379 0.000000 41.660534 0.000000 7.723554 0.000000 0.104244 1.758122 
500.00 1193.15 100.238979 9.638005 0.000000 17.163292 21.778116 0.000000 42.166439 0.000000 7.594159 0.000000 0.122730 1.776238 
500.00 1183.15 100.229015 8.958707 0.000000 17.586610 21.687831 0.000000 42.603547 0.000000 7.461675 0.000000 0.138549 1.792096 
500.00 1173.15 100.219304 8.357382 0.000000 17.994188 21.599865 0.000000 42.983103 0.000000 7.326519 0.000000 0.152155 1.806091 
500.00 1163.15 100.201036 7.432680 0.243613 18.460222 21.478157 0.000000 43.551162 0.000000 6.848507 0.176169 0.180822 1.829704 
500.00 1153.15 100.183383 6.504472 0.379223 19.057229 21.366092 0.000000 44.106796 0.000000 6.257369 0.452665 0.206842 1.852696 
500.00 1143.15 100.165550 5.652560 0.492882 19.660320 21.256329 0.000000 44.605349 0.000000 5.690163 0.704148 0.230065 1.873734 
500.00 1133.15 100.147621 4.865770 0.588377 20.264214 21.149232 0.000000 45.056533 0.000000 5.146624 0.932863 0.250944 1.893064 
500.00 1123.15 100.129681 4.134622 0.668756 20.864446 21.045054 0.000000 45.468633 0.000000 4.626710 1.140696 0.269867 1.910898 
500.00 1113.15 100.111813 3.450902 0.736494 21.457294 20.943959 0.000000 45.848849 0.000000 4.130433 1.329289 0.287176 1.927418 
500.00 1103.15 100.094087 2.807274 0.793630 22.039821 20.846027 0.000000 46.203566 0.000000 3.657673 1.500136 0.303173 1.942788 
500.00 1093.15 100.076560 2.196936 0.841863 22.609968 20.751280 0.000000 46.538561 0.000000 3.207987 1.654660 0.318141 1.957162 
500.00 1083.15 100.059261 1.613333 0.882630 23.166686 20.659691 0.000000 46.859171 0.000000 2.780434 1.794278 0.332349 1.970688 
500.00 1073.15 100.030546 0.644843 0.933003 24.057631 20.549315 0.000000 47.093494 0.312140 2.094327 1.997315 0.356103 1.992375 
500.00 1063.15 100.012275 0.362395 0.929900 24.604063 20.567725 0.000000 47.118174 0.629602 1.672640 2.115344 0.000000 2.012434 
500.00 1053.15 100.011694 0.361897 0.935811 24.647533 20.516588 0.000000 47.034614 0.706339 1.678610 2.117851 0.000000 2.012451 
500.00 1043.15 100.011123 0.361427 0.941122 24.689140 20.468639 0.000000 46.953692 0.779859 1.684583 2.120193 0.000000 2.012468 
500.00 1033.15 100.010560 0.360983 0.945823 24.729195 20.423671 0.000000 46.875234 0.850277 1.690533 2.122359 0.000000 2.012485 
500.00 1023.15 100.010006 0.360565 0.949908 24.767982 20.381503 0.000000 46.799069 0.917704 1.696436 2.124337 0.000000 2.012501 
500.00 1013.15 100.009459 0.360171 0.953372 24.805764 20.341977 0.000000 46.725030 0.982245 1.702265 2.126118 0.000000 2.012517 
500.00 1003.15 99.990535 0.359569 1.035127 25.773736 18.831647 2.237489 45.724285 1.047688 1.385671 1.582789 0.000000 2.012532 
500.00 993.15 99.962969 0.358903 1.151014 27.160061 16.709137 5.447732 44.297538 1.111554 0.926213 0.788271 0.000000 2.012548 
500.00 983.15 99.935411 0.358277 1.263789 28.523489 14.671224 8.575249 42.882484 1.172074 0.476262 0.000000 0.000000 2.012563 
500.00 973.15 99.934041 0.357925 1.271043 28.536292 14.678730 8.586488 42.789098 1.225841 0.476044 0.000000 0.000000 2.012579 
500.00 963.15 99.932738 0.357600 1.276719 28.549840 14.686513 8.595490 42.699740 1.277120 0.477121 0.000000 0.000000 2.012595 
500.00 953.15 99.931503 0.357299 1.280847 28.564358 14.694377 8.602630 42.614092 1.325999 0.479289 0.000000 0.000000 2.012611 
500.00 943.15 99.930332 0.357021 1.283464 28.580029 14.702178 8.608206 42.531871 1.372560 0.482376 0.000000 0.000000 2.012626 
