Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1143.15 100.165550 51.603930 2.450707 0.128761 5.732737 6.389015 0.000000 16.832698 0.000000 1.180089 0.151710 0.075124 18.663090 
500.00 1133.15 100.147621 51.483647 2.112997 0.153005 5.893267 6.352193 0.000000 17.000095 0.000000 1.065082 0.200767 0.081942 18.624300 
500.00 1123.15 100.129681 51.346003 1.798029 0.173164 6.052291 6.316499 0.000000 17.152660 0.000000 0.955558 0.245251 0.088121 18.564430 
500.00 1113.15 100.111813 51.192824 1.502518 0.189944 6.208799 6.282004 0.000000 17.293166 0.000000 0.851435 0.285536 0.093773 18.485650 
500.00 1103.15 100.094087 51.025692 1.223520 0.203916 6.362010 6.248742 0.000000 17.424072 0.000000 0.752616 0.321961 0.098996 18.389859 
500.00 1093.15 100.076560 50.846006 0.958292 0.215552 6.511389 6.216725 0.000000 17.547603 0.000000 0.658946 0.354846 0.103884 18.278768 
500.00 1083.15 100.059261 50.655022 0.704168 0.225246 6.656681 6.185937 0.000000 17.665814 0.000000 0.570179 0.384505 0.108523 18.153968 
500.00 1073.15 100.030546 50.499055 0.281684 0.237047 6.890916 6.146870 0.000000 17.748388 0.124098 0.428699 0.427626 0.116280 18.097447 
500.00 1063.15 100.012275 50.354493 0.125530 0.235507 7.031023 6.148745 0.000000 17.750791 0.250262 0.341846 0.452586 0.000000 18.018203 
500.00 1053.15 100.011694 50.079169 0.125354 0.236739 7.038005 6.134663 0.000000 17.713864 0.280709 0.342656 0.452968 0.000000 17.754213 
500.00 1043.15 100.011123 49.800943 0.125188 0.237812 7.044391 6.121552 0.000000 17.677994 0.309864 0.343468 0.453313 0.000000 17.487361 
500.00 1033.15 100.010560 49.519642 0.125031 0.238726 7.050268 6.109352 0.000000 17.643109 0.337773 0.344276 0.453620 0.000000 17.217488 
500.00 1023.15 100.010006 49.235081 0.124882 0.239479 7.055718 6.098009 0.000000 17.609136 0.364481 0.345075 0.453886 0.000000 16.944416 
500.00 1013.15 100.009459 48.947055 0.124741 0.240071 7.060815 6.087475 0.000000 17.576001 0.390029 0.345860 0.454109 0.000000 16.667955 
500.00 1003.15 99.990535 48.587982 0.124531 0.259768 7.317814 5.632300 0.627031 17.203766 0.415934 0.281113 0.337832 0.000000 16.387893 
500.00 993.15 99.962969 48.193805 0.124301 0.287668 7.687243 4.993030 1.524861 16.675766 0.441206 0.187603 0.168119 0.000000 16.104007 
500.00 983.15 99.935411 47.795979 0.124084 0.314676 8.049529 4.380444 2.397557 16.152181 0.465141 0.096318 0.000000 0.000000 15.816049 
500.00 973.15 99.934041 47.489538 0.123961 0.316113 8.046397 4.385009 2.399488 16.112330 0.486361 0.096129 0.000000 0.000000 15.523750 
500.00 963.15 99.932738 47.178416 0.123845 0.317147 8.043468 4.389675 2.400805 16.073893 0.506582 0.096206 0.000000 0.000000 15.226794 
500.00 953.15 99.931503 46.862253 0.123737 0.317788 8.040806 4.394379 2.401611 16.036740 0.525837 0.096509 0.000000 0.000000 14.924845 
500.00 943.15 99.930332 46.540713 0.123637 0.318046 8.038463 4.399075 2.401990 16.000812 0.544160 0.096999 0.000000 0.000000 14.617530 
