Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 whitlockite 
500.00 1333.15 98.197280 33.282576 4.933430 0.000000 5.918187 6.069544 15.226976 0.000000 0.000000 1.134438 0.000000 0.000000 
500.00 1323.15 98.188752 33.231543 4.531008 0.000000 6.015242 6.113720 15.438025 0.000000 0.000000 1.133549 0.000000 0.000000 
500.00 1313.15 98.180168 33.186260 4.193691 0.000000 6.102475 6.144913 15.616706 0.000000 0.000000 1.128476 0.000000 0.000000 
500.00 1303.15 98.171395 33.144069 3.893617 0.000000 6.183774 6.168214 15.771844 0.000000 0.000000 1.120442 0.000000 0.006178 
500.00 1293.15 98.162862 33.105751 3.635605 0.000000 6.257721 6.184370 15.905923 0.000000 0.000000 1.110659 0.000000 0.011473 
500.00 1283.15 98.154616 33.070515 3.411323 0.000000 6.325470 6.195237 16.022818 0.000000 0.000000 1.099761 0.000000 0.015907 
500.00 1273.15 98.146669 33.037825 3.214250 0.000000 6.388040 6.202139 16.125624 0.000000 0.000000 1.088130 0.000000 0.019641 
500.00 1263.15 98.127592 32.972960 2.796302 0.044620 6.580073 6.183650 16.314831 0.000000 0.000000 0.942628 0.078718 0.032137 
500.00 1253.15 98.106037 32.901060 2.354772 0.078733 6.824135 6.151945 16.507664 0.000000 0.000000 0.766777 0.172450 0.044584 
500.00 1243.15 98.084339 32.832245 1.950727 0.105657 7.064326 6.116476 16.682644 0.000000 0.000000 0.601234 0.255735 0.055447 
500.00 1233.15 98.062584 32.766175 1.577530 0.127201 7.298324 6.079088 16.843523 0.000000 0.000000 0.445474 0.329920 0.065115 
500.00 1223.15 98.040858 32.702584 1.229863 0.144672 7.524549 6.041030 16.993459 0.000000 0.000000 0.299082 0.396052 0.073878 
500.00 1213.15 98.019232 32.641237 0.903257 0.159031 7.742043 6.003132 17.135172 0.000000 0.000000 0.161633 0.455001 0.081968 
500.00 1203.15 97.997749 32.581891 0.593749 0.171005 7.950443 5.965912 17.271054 0.000000 0.000000 0.032612 0.507537 0.089579 
500.00 1193.15 97.988468 32.555000 0.469132 0.173492 8.001614 5.950553 17.345650 0.000000 0.000000 0.000000 0.521976 0.092583 
500.00 1183.15 97.983719 32.539686 0.411653 0.172845 7.998630 5.942793 17.395990 0.000000 0.000000 0.000000 0.523864 0.093911 
500.00 1173.15 97.979197 32.524788 0.358641 0.172034 7.995544 5.935077 17.442883 0.000000 0.000000 0.000000 0.525475 0.095132 
500.00 1163.15 97.975084 32.503750 0.233230 0.175495 7.986527 5.929601 17.514858 0.000000 0.038084 0.000000 0.527704 0.098251 
500.00 1153.15 97.972532 32.473252 0.000000 0.189339 7.959137 5.935645 17.615128 0.000000 0.139323 0.000000 0.530351 0.104329 
500.00 1143.15 97.970152 32.462357 0.000000 0.193333 7.941782 5.941814 17.618518 0.000000 0.132530 0.000000 0.530051 0.104329 
500.00 1133.15 97.967799 32.451513 0.000000 0.197349 7.924914 5.947417 17.621939 0.000000 0.125824 0.000000 0.529741 0.104329 
500.00 1123.15 97.965474 32.440722 0.000000 0.201389 7.908502 5.952488 17.625387 0.000000 0.119207 0.000000 0.529421 0.104329 
500.00 1113.15 97.963293 32.440593 0.119504 0.197424 7.898774 5.956671 17.612006 0.016142 0.111175 0.000000 0.528897 0.000000 
