Reference,Location,Site,Section,Img. Ref. No.,Mineral,Enclosing Phase,Na2O_pct,MgO_pct,Al2O3_pct,SiO2_pct,K2O_pct,CaO_pct,TiO2_pct,V2O5_pct,Cr2O3_pct,MnO_pct,FeO_pct,NiO_pct,Total_pct,Si_wt%,Fe_wt%,Fe57_CPS,Si_CPS,Al27_CPS,Si29_CPS,Data Reduction,Internal Standard,IntStdWv,Li_ppm_7,Be_ppm_9,B_ppm_11,Na_ppm_23,Mg_ppm_25,Al_ppm_27,Si_ppm_29,P_ppm_31,K_ppm_39,Ca_ppm_43,Sc_ppm_45,Ti_ppm_49,V_ppm_51,Cr_ppm_53,Mn_ppm_55,Fe_ppm_57,Co_ppm_59,Ni_ppm_60,Ni_ppm_61,Cu_ppm_63,Zn_ppm_66,Ga_ppm_71,Ge_ppm_72,As_ppm_75,Rb_ppm_85,Sr_ppm_88,Y_ppm_89,Zr_ppm_90,Nb_ppm_93,Mo_ppm_95,Ru_ppm_99,Rh_ppm_103,Pd_ppm_105,Ag_ppm_107,Cd_ppm_111,Sn_ppm_118,Cs_ppm_133,Ba_ppm_137,La_ppm_139,Ce_ppm_140,Pr_ppm_141,Nd_ppm_146,Sm_ppm_147,Eu_ppm_153,Gd_ppm_157,Tb_ppm_159,Dy_ppm_163,Ho_ppm_165,Er_ppm_166,Er_ppm_167,Tm_ppm_169,Yb_ppm_173,Lu_ppm_175,Hf_ppm_178,Os_ppm_192,Pt_ppm_194,Au_ppm_197,Pb_ppm_208,Th_ppm_232,U_ppm_238,Primary RM,Spot Size (µm),Rep Rate (Hz),Method
This Study,Norilsk,Chernogorsk,UK35 89.2,24,spinel,olivine,bdl,1.376738,4.217767,bdl,bdl,bdl,4.731886,1.04,16.597885,0.25,68.901412,,97.115688,#VALUE!,53.55725768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Chernogorsk,UK35 89.2,north of 17,spinel,olivine,bdl,3.80864,4.767058,bdl,bdl,bdl,5.132197,0.58,25.958679,0.36,56.639653,,97.246228,#VALUE!,44.02615857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Kharaelakh,KH-2,15,olivine,,bdl,37.804352,0.057392,37.475642,bdl,0.138729,0.01049,,0.01024,0.42338,22.516501,,98.436725,17.51853123,17.50213836,,5545.98314,,,EDS IS,Si29,17.51853123,,,,LOD,218492.6116,75.444495,,65.021871,,LOD,11.034594,126.218927,7.028099,27.538675,2538.721593,94281.71338,225.951003,,1028.875493,,180.722554,LOD,,,,,0.707591,,,,,,,,,,,,,,,,,,,,,,,LOD,0.032511,0.196022,0.076496,,,,,,LOD,LOD,NIST610,65,5,Routine1
This Study,Norilsk,Kharaelakh,KH-2,18,olivine,,0.010097,39.5068,0.076522,38.178373,bdl,0.089183,bdl,,0.01024,0.364577,20.814793,,99.050585,17.847033,16.17939604,,5630.496921,,,EDS IS,Si29,17.847033,,,,LOD,236422.4226,115.045274,,114.947861,,LOD,13.092367,146.120162,8.04635,71.111812,2369.094898,82606.59843,208.757005,,979.979222,,166.576985,LOD,,,,,0.487067,,,,,,,,,,,,,,,,,,,,,,,0.092543,0.024353,0.311723,0.037017,,,,,,LOD,LOD,NIST610,65,5,Routine1
This Study,Norilsk,Kharaelakh,KH-2,19,olivine,,0.020194,39.286483,0.095653,37.676423,bdl,0.109001,0.052448,,0.030719,0.305774,20.098831,,97.675525,17.61238921,15.6228768,,5700.668923,,,EDS IS,Si29,17.61238921,,,,LOD,227738.3588,137.95042,,63.44758,,1230.49852,12.891395,81.232129,8.421224,52.296187,2288.919512,82674.11929,196.495232,,889.227446,,148.909547,LOD,,,,,0.413371,,,,,,,,,,,,,,,,,,,,,,,LOD,LOD,0.089403,0.030762,,,,,,LOD,LOD,NIST610,65,5,Routine1
This Study,Norilsk,Kharaelakh,KH-2,23,olivine,,bdl,39.346569,0.038261,38.228568,bdl,0.099092,bdl,,bdl,0.352816,21.530756,,99.596063,17.87049738,16.73591605,,5793.966051,,,EDS IS,Si29,17.87049738,,,,LOD,228344.689,87.689823,,31.213285,,LOD,11.802523,114.123574,6.379215,37.553484,2352.701366,84568.49438,212.738046,,878.849059,,170.697653,LOD,,,,,0.349199,,,,,,,,,,,,,,,,,,,,,,,LOD,LOD,0.065353,0.031213,,,,,,LOD,LOD,NIST610,65,5,Routine1
This Study,Norilsk,Kharaelakh,KH-2,34,olivine,,bdl,38.457691,bdl,38.392428,bdl,0.126936,bdl,,bdl,0.298566,23.36341,bdl,100.639031,17.94709611,18.16044306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Kharaelakh,KH-2,37,olivine,,bdl,38.654155,bdl,38.095142,bdl,0.07052,bdl,,bdl,0.2756,22.693203,bdl,99.788619,17.80812547,17.63948931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Kharaelakh,KH-2,38,olivine,,bdl,38.981593,bdl,38.392428,bdl,0.084624,bdl,,bdl,0.321533,22.183846,0.209635,100.173659,17.94709611,17.24356471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Kharaelakh,KH-2,29,oxide3,pyroxene,bdl,5.599204,0.145254,1.507667,bdl,bdl,44.581689,,bdl,0.677516,46.418524,bdl,98.929854,0.704780759,36.08124679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
